Store ID,Product ID,Units Sold_x,Sales Revenue (USD)_x,Discount Percentage,Marketing Spend (USD)_x,Store Location,Product Category,Day of the Week,Holiday Effect,Year,Month,Day,Season,Clothing Subcategory
Spearsland,73978756,10,1644.6,0,0,Afghanistan,Clothing,Tuesday,FALSE,2022,8,2,Summer,Women's
Spearsland,93691949,7,3633.63,0,0,Afghanistan,Clothing,Thursday,FALSE,2023,4,6,Spring,Women's
Spearsland,71215150,5,4051.55,0,0,Afghanistan,Clothing,Friday,FALSE,2022,3,4,Spring,Women's
Spearsland,8914811,4,1193.28,0,0,Afghanistan,Clothing,Sunday,FALSE,2023,7,2,Summer,Women's
Spearsland,56183269,4,2323.59,5,83,Afghanistan,Clothing,Monday,FALSE,2022,6,20,Summer,Women's
Spearsland,93691949,2,1038.18,0,151,Afghanistan,Clothing,Wednesday,FALSE,2023,7,19,Summer,Women's
Spearsland,93691949,10,5190.9,0,0,Afghanistan,Clothing,Saturday,FALSE,2023,7,8,Summer,Women's
Spearsland,71215150,12,9723.72,0,0,Afghanistan,Clothing,Saturday,FALSE,2022,6,4,Summer,Women's
Spearsland,18794205,4,2749.56,0,102,Afghanistan,Clothing,Thursday,FALSE,2022,10,27,Fall,Men's
Spearsland,56183269,4,2445.88,0,153,Afghanistan,Clothing,Tuesday,FALSE,2022,1,4,Winter,Kids
Spearsland,29925957,14,8189.21,5,4,Afghanistan,Clothing,Sunday,FALSE,2022,3,20,Spring,Kids
Spearsland,29925957,7,4310.11,0,197,Afghanistan,Clothing,Saturday,FALSE,2023,7,22,Summer,Men's
Spearsland,18794205,5,3436.95,0,0,Afghanistan,Clothing,Tuesday,FALSE,2023,7,18,Summer,Men's
Spearsland,22928719,6,784.92,0,0,Afghanistan,Clothing,Sunday,FALSE,2023,1,15,Winter,Women's
Spearsland,71215150,7,5672.17,0,49,Afghanistan,Clothing,Thursday,FALSE,2023,8,3,Summer,Kids
Spearsland,22928719,5,654.1,0,0,Afghanistan,Clothing,Friday,FALSE,2022,7,22,Summer,Men's
Spearsland,18794205,4,2749.56,0,0,Afghanistan,Clothing,Saturday,FALSE,2022,10,15,Fall,Men's
Spearsland,18794205,2,1168.56,15,152,Afghanistan,Clothing,Thursday,FALSE,2023,9,14,Fall,Men's
Spearsland,29925957,7,4310.11,0,146,Afghanistan,Clothing,Saturday,FALSE,2023,2,11,Winter,Kids
Spearsland,71215150,1,769.79,5,0,Afghanistan,Clothing,Monday,FALSE,2022,2,28,Winter,Men's
Spearsland,22928719,7,732.59,20,177,Afghanistan,Clothing,Thursday,FALSE,2022,5,5,Spring,Men's
Spearsland,93691949,5,2076.36,20,0,Afghanistan,Clothing,Monday,FALSE,2022,1,31,Winter,Men's
Spearsland,29925957,7,4094.6,5,132,Afghanistan,Clothing,Wednesday,FALSE,2022,8,3,Summer,Kids
Spearsland,73978756,6,986.76,0,0,Afghanistan,Clothing,Friday,FALSE,2023,12,22,Winter,Kids
Spearsland,29925957,4,1970.34,20,0,Afghanistan,Clothing,Tuesday,FALSE,2022,5,31,Spring,Kids
Spearsland,73978756,5,822.3,0,0,Afghanistan,Clothing,Wednesday,FALSE,2022,2,23,Winter,Kids
Spearsland,8914811,4,954.62,20,51,Afghanistan,Clothing,Monday,FALSE,2022,10,10,Fall,Women's
Spearsland,73978756,2,328.92,0,0,Afghanistan,Clothing,Friday,FALSE,2022,9,16,Fall,Men's
Spearsland,73978756,9,1480.14,0,43,Afghanistan,Clothing,Saturday,FALSE,2022,1,15,Winter,Women's
Spearsland,24102292,7,5981.22,10,55,Afghanistan,Clothing,Tuesday,FALSE,2023,5,30,Spring,Women's
Spearsland,73978756,11,1809.06,0,0,Afghanistan,Clothing,Sunday,FALSE,2022,1,30,Winter,Women's
Spearsland,22928719,7,915.74,0,0,Afghanistan,Clothing,Thursday,FALSE,2023,9,14,Fall,Kids
Spearsland,56183269,6,3301.94,10,0,Afghanistan,Clothing,Friday,FALSE,2022,2,18,Winter,Women's
Spearsland,8914811,7,2088.24,0,44,Albania,Clothing,Wednesday,FALSE,2022,8,17,Summer,Kids
Spearsland,93691949,5,2595.45,0,160,Albania,Clothing,Sunday,FALSE,2022,4,3,Spring,Men's
